subject,x,y,Cycle Length (ms),SNR,Start,Activation,Duration-20%,Duration-80%,Duration-90%,Duration-70%
06-350_Ca,55,75,350.6337558372248,23.443688031018475,20,24,52,112,124,100
06-350_Ca,55,75,350.6337558372248,21.25912391722489,17,23,48,107,118,99
06-350_Ca,55,75,350.6337558372248,15.811062339070517,16,23,52,108,116,95
06-350_Ca,55,75,350.6337558372248,34.51869270857327,18,24,50,113,125,103
06-350_Ca,55,75,350.6337558372248,19.692805354328982,18,24,38,110,115,99
06-350_Ca,55,75,350.6337558372248,30.50302568273252,19,24,47,113,127,101
